iter	Passed	Remaining
423	3309	4495
424	3317	4488
425	3324	4480
426	3332	4472
427	3340	4464
428	3348	4456
429	3355	4448
430	3363	4440
431	3371	4433
432	3379	4425
433	3387	4417
434	3395	4409
435	3402	4401
436	3410	4393
437	3418	4385
438	3425	4377
439	3433	4369
440	3441	4361
441	3448	4354
442	3456	4345
443	3464	4337
444	3471	4330
445	3479	4322
446	3487	4314
447	3495	4306
448	3503	4298
449	3511	4291
450	3518	4283
451	3526	4275
452	3533	4267
453	3541	4259
454	3549	4251
455	3556	4243
456	3564	4235
457	3572	4227
458	3580	4219
459	3587	4211
460	3595	4204
461	3603	4196
462	3610	4188
463	3618	4180
464	3626	4172
465	3633	4164
466	3641	4156
467	3649	4148
468	3657	4140
469	3664	4132
470	3672	4124
471	3679	4116
472	3687	4108
473	3695	4100
474	3703	4092
475	3710	4084
476	3718	4076
477	3725	4068
478	3733	4060
479	3740	4052
480	3748	4044
481	3756	4037
482	3764	4029
483	3772	4021
484	3780	4013
485	3787	4005
486	3795	3998
487	3803	3990
488	3810	3982
489	3818	3974
490	3825	3966
491	3833	3958
492	3841	3950
493	3849	3942
494	3857	3935
495	3864	3927
496	3873	3920
497	3881	3912
498	3889	3904
499	3896	3896
500	3904	3888
501	3912	3881
502	3920	3873
503	3928	3865
504	3936	3858
505	3944	3851
506	3952	3843
507	3960	3836
508	3968	3828
509	3976	3820
510	3984	3812
511	3992	3805
512	4000	3797
513	4007	3789
514	4015	3781
515	4023	3774
516	4031	3765
517	4039	3758
518	4046	3750
519	4054	3742
520	4062	3735
521	4070	3727
522	4078	3719
523	4086	3712
524	4094	3704
525	4102	3696
526	4109	3688
527	4117	3680
528	4124	3672
529	4132	3664
530	4139	3656
531	4147	3648
532	4155	3640
533	4162	3632
534	4170	3624
535	4178	3616
536	4185	3609
537	4193	3601
538	4201	3593
539	4208	3585
540	4216	3577
541	4224	3569
542	4231	3561
543	4239	3553
544	4247	3545
545	4255	3538
546	4263	3530
547	4271	3522
548	4278	3514
549	4286	3506
550	4293	3498
551	4301	3491
552	4309	3483
553	4316	3475
554	4324	3467
555	4332	3459
556	4339	3451
557	4347	3443
558	4355	3435
559	4362	3427
560	4370	3419
561	4377	3411
562	4385	3403
563	4392	3395
564	4400	3388
565	4408	3380
566	4415	3372
567	4423	3364
568	4431	3356
569	4439	3348
570	4447	3341
571	4455	3333
572	4462	3325
573	4470	3317
574	4478	3310
575	4486	3302
576	4493	3294
577	4500	3286
578	4508	3278
579	4516	3270
580	4523	3262
581	4531	3254
582	4538	3246
583	4546	3238
584	4554	3230
585	4561	3222
586	4569	3215
587	4577	3207
588	4584	3199
589	4592	3191
590	4600	3183
591	4607	3175
592	4615	3168
593	4624	3160
594	4631	3152
595	4639	3145
596	4647	3137
597	4655	3129
598	4663	3121
599	4670	3113
600	4678	3106
601	4686	3098
602	4694	3090
603	4701	3082
604	4709	3074
605	4717	3066
606	4725	3059
607	4732	3051
608	4740	3043
609	4748	3035
610	4756	3028
611	4763	3020
612	4771	3012
613	4779	3004
614	4786	2996
615	4794	2988
616	4801	2980
617	4809	2973
618	4817	2965
619	4825	2957
620	4833	2949
621	4841	2942
622	4848	2934
623	4856	2926
624	4863	2918
625	4872	2911
626	4882	2904
627	4891	2897
628	4900	2890
629	4908	2882
630	4916	2874
631	4924	2867
632	4931	2859
633	4939	2851
634	4946	2843
635	4954	2835
636	4961	2827
637	4969	2819
638	4977	2812
639	4985	2804
640	4993	2796
641	5001	2788
642	5009	2781
643	5017	2773
644	5024	2765
645	5032	2757
646	5040	2750
647	5048	2742
648	5056	2734
649	5063	2726
650	5071	2718
651	5078	2710
652	5086	2703
653	5094	2695
654	5102	2687
655	5109	2679
656	5117	2671
657	5124	2663
658	5132	2656
659	5140	2648
660	5147	2640
661	5155	2632
662	5163	2624
663	5170	2616
664	5178	2608
665	5186	2600
666	5194	2593
667	5201	2585
668	5209	2577
669	5217	2569
670	5224	2561
671	5232	2553
672	5240	2546
673	5247	2538
674	5255	2530
675	5263	2522
676	5271	2514
677	5278	2507
678	5286	2499
679	5293	2491
680	5301	2483
681	5309	2475
682	5316	2467
683	5324	2459
684	5332	2452
685	5339	2444
686	5347	2436
687	5355	2428
688	5363	2420
689	5370	2412
690	5378	2405
691	5386	2397
692	5394	2389
693	5401	2381
694	5409	2373
695	5417	2366
696	5424	2358
697	5432	2350
698	5439	2342
699	5447	2334
700	5455	2326
701	5462	2318
702	5470	2311
703	5477	2303
704	5485	2295
705	5493	2287
706	5501	2279
707	5509	2272
708	5516	2264
709	5524	2256
710	5531	2248
711	5539	2240
712	5547	2232
713	5554	2225
714	5562	2217
715	5570	2209
716	5578	2201
717	5585	2193
718	5593	2186
719	5601	2178
720	5609	2170
721	5617	2162
722	5625	2155
723	5632	2147
724	5640	2139
725	5648	2131
726	5655	2123
727	5663	2116
728	5671	2108
729	5679	2100
730	5686	2092
731	5694	2084
732	5702	2077
733	5710	2069
734	5717	2061
735	5725	2053
736	5733	2046
737	5741	2038
738	5749	2030
739	5757	2022
740	5764	2014
741	5772	2007
742	5780	1999
743	5788	1991
744	5795	1983
745	5803	1976
746	5811	1968
747	5819	1960
748	5827	1952
749	5834	1944
750	5842	1937
751	5850	1929
752	5857	1921
753	5865	1913
754	5873	1905
755	5881	1898
756	5889	1890
757	5896	1882
758	5904	1874
759	5912	1867
760	5920	1859
761	5928	1851
762	5936	1843
763	5943	1836
764	5951	1828
765	5959	1820
766	5967	1812
767	5975	1805
768	5983	1797
769	5990	1789
770	5998	1781
771	6006	1773
772	6013	1766
773	6021	1758
774	6029	1750
775	6036	1742
776	6044	1734
777	6052	1726
778	6059	1719
779	6067	1711
780	6075	1703
781	6083	1695
782	6091	1688
783	6099	1680
784	6106	1672
785	6114	1664
786	6122	1657
787	6130	1649
788	6137	1641
789	6145	1633
790	6152	1625
791	6160	1617
792	6168	1610
793	6175	1602
794	6183	1594
795	6191	1586
796	6199	1578
797	6206	1571
798	6214	1563
799	6221	1555
800	6229	1547
801	6237	1539
802	6245	1532
803	6252	1524
804	6260	1516
805	6267	1508
806	6275	1500
807	6283	1493
808	6291	1485
809	6298	1477
810	6306	1469
811	6314	1461
812	6322	1454
813	6329	1446
814	6336	1438
815	6344	1430
816	6352	1422
817	6359	1415
818	6367	1407
819	6375	1399
820	6382	1391
821	6390	1383
822	6397	1375
823	6405	1368
824	6413	1360
825	6420	1352
826	6428	1344
827	6436	1337
828	6443	1329
829	6451	1321
830	6458	1313
831	6466	1305
832	6474	1298
833	6482	1290
834	6489	1282
835	6497	1274
836	6505	1266
837	6513	1259
838	6521	1251
839	6528	1243
840	6536	1235
841	6544	1228
842	6552	1220
843	6559	1212
844	6567	1204
845	6575	1196
846	6582	1189
847	6590	1181
848	6598	1173
849	6606	1165
850	6613	1158
851	6621	1150
852	6629	1142
853	6636	1134
854	6644	1126
855	6652	1119
856	6660	1111
857	6668	1103
858	6675	1095
859	6683	1088
860	6691	1080
861	6699	1072
862	6707	1064
863	6714	1056
864	6722	1049
865	6730	1041
866	6738	1033
867	6745	1025
868	6753	1018
869	6761	1010
870	6768	1002
871	6775	994
872	6783	986
873	6791	979
874	6798	971
875	6806	963
876	6814	955
877	6821	947
878	6829	940
879	6837	932
880	6845	924
881	6855	917
882	6863	909
883	6871	901
884	6879	893
885	6886	886
886	6894	878
887	6902	870
888	6910	862
889	6918	855
890	6925	847
891	6933	839
892	6941	831
893	6949	823
894	6956	816
895	6964	808
896	6971	800
897	6979	792
898	6987	784
899	6994	777
900	7002	769
901	7010	761
902	7018	753
903	7026	746
904	7033	738
905	7041	730
906	7049	722
907	7057	715
908	7065	707
909	7072	699
910	7080	691
911	7087	683
912	7095	676
913	7103	668
914	7110	660
915	7118	652
916	7126	645
917	7134	637
918	7141	629
919	7149	621
920	7157	613
921	7164	606
922	7172	598
923	7179	590
924	7187	582
925	7195	575
926	7203	567
927	7211	559
928	7219	551
929	7227	544
930	7235	536
931	7242	528
932	7250	520
933	7257	512
934	7265	505
935	7272	497
936	7280	489
937	7288	481
938	7296	473
939	7303	466
940	7311	458
941	7318	450
942	7326	442
943	7333	435
944	7341	427
945	7349	419
946	7357	411
947	7364	403
948	7372	396
949	7379	388
950	7387	380
951	7395	372
952	7403	365
953	7410	357
954	7418	349
955	7426	341
956	7434	334
957	7442	326
958	7449	318
959	7457	310
960	7465	302
961	7472	295
962	7480	287
963	7487	279
964	7495	271
965	7502	264
966	7510	256
967	7517	248
968	7525	240
969	7532	232
970	7540	225
971	7547	217
972	7555	209
973	7563	201
974	7571	194
975	7579	186
976	7587	178
977	7595	170
978	7602	163
979	7610	155
980	7618	147
981	7625	139
982	7633	132
983	7640	124
984	7648	116
985	7656	108
986	7663	100
987	7671	93
988	7678	85
989	7686	77
990	7693	69
991	7701	62
992	7709	54
993	7716	46
994	7724	38
995	7732	31
996	7739	23
997	7747	15
998	7755	7
999	7763	0
